縣市,縣市人數,地址,等級,公廁所在場所,公廁性質,尿布台組,數字
高雄市,2715827,高雄市鼓山區寶樹里鼓山二路166號,特優級,民眾洽公場所,女廁所,0,
高雄市,2715827,高雄市前鎮區忠純里中華五路1111號,特優級,商業營業場所,女廁所,1,
高雄市,2715827,高雄市鼓山區寶樹里鼓山二路166號,特優級,民眾洽公場所,男廁所,0,
高雄市,2715827,高雄市前鎮區忠純里中華五路1111號,特優級,商業營業場所,無障礙廁所,0,
高雄市,2715827,高雄市鼓山區寶樹里鼓山二路166號,特優級,民眾洽公場所,女廁所,0,
高雄市,2715827,高雄市前鎮區忠純里中華五路1111號,特優級,商業營業場所,男廁所,0,
高雄市,2715827,高雄市鼓山區龍子里明誠三路639號,特優級,商業營業場所,混合廁所,0,
高雄市,2715827,高雄市前鎮區忠純里中華五路1111號,特優級,商業營業場所,女廁所,0,
高雄市,2715827,高雄市前鎮區忠純里中華五路1111號,特優級,商業營業場所,無障礙廁所,1,
高雄市,2715827,高雄市前鎮區忠純里中華五路1111號,特優級,商業營業場所,男廁所,0,
高雄市,2715827,高雄市前鎮區忠純里中華五路1111號,特優級,商業營業場所,女廁所,0,
高雄市,2715827,高雄市前鎮區忠純里中華五路1111號,特優級,商業營業場所,男廁所,0,
高雄市,2715827,高雄市前鎮區忠純里中華五路1111號,特優級,商業營業場所,女廁所,1,
高雄市,2715827,高雄市前鎮區忠純里中華五路1111號,特優級,商業營業場所,無障礙廁所,0,
高雄市,2715827,高雄市前鎮區忠純里中華五路1201號,特優級,商業營業場所,男廁所,1,
高雄市,2715827,高雄市前鎮區忠純里中華五路1201號,特優級,商業營業場所,女廁所,0,
高雄市,2715827,高雄市前鎮區忠純里中華五路1201號,特優級,商業營業場所,男廁所,1,
高雄市,2715827,高雄市前鎮區忠純里中華五路1201號,特優級,商業營業場所,女廁所,1,
高雄市,2715827,高雄市前鎮區忠純里中華五路1201號,特優級,商業營業場所,男廁所,1,
臺南市,2868409,臺南市柳營區神農里果毅後284之5號,特優級,社福機構、集會場所,男廁所,0,
高雄市,2715827,高雄市前鎮區忠純里中華五路1201號,特優級,商業營業場所,女廁所,1,
臺南市,2868409,臺南市柳營區神農里果毅後284之5號,特優級,社福機構、集會場所,女廁所,0,
高雄市,2715827,高雄市前鎮區忠純里中華五路1201號,特優級,商業營業場所,無障礙廁所,0,
臺南市,2868409,臺南市柳營區大農里工一路７號,普通級,民眾洽公場所,男廁所,0,
臺南市,2868409,臺南市柳營區大農里工一路７號,普通級,民眾洽公場所,女廁所,0,
臺南市,2868409,臺南市柳營區大農里工一路７號,特優級,民眾洽公場所,無障礙廁所,0,
臺南市,2868409,臺南市柳營區大農里工一路７號,普通級,民眾洽公場所,男廁所,0,
臺南市,2868409,臺南市柳營區大農里工一路７號,普通級,民眾洽公場所,女廁所,0,
臺南市,2868409,臺南市柳營區大農里工一路7號,特優級,民眾洽公場所,無障礙廁所,0,
高雄市,2715827,高雄市新興區愛平里中山一路與中正四路間,特優級,交通,男廁所,1,
高雄市,2715827,高雄市新興區愛平里中山一路與中正四路間,特優級,交通,女廁所,1,
高雄市,2715827,高雄市新興區愛平里中山一路與中正四路間,特優級,交通,無障礙廁所,0,
高雄市,2715827,高雄市新興區愛平里中山一路與中正四路間,特優級,交通,男廁所,1,
高雄市,2715827,高雄市新興區愛平里中山一路與中正四路間,特優級,交通,女廁所,1,
高雄市,2715827,高雄市新興區愛平里中山一路與中正四路間,特優級,交通,無障礙廁所,1,
高雄市,2715827,高雄市新興區東坡里中山一路與中正四路間,特優級,交通,男廁所,1,
高雄市,2715827,高雄市新興區東坡里中山一路與中正四路間,特優級,交通,女廁所,1,
高雄市,2715827,高雄市新興區東坡里中山一路與中正四路間,特優級,交通,無障礙廁所,1,
高雄市,2715827,高雄市新興區東坡里中山一路與中正四路間,特優級,交通,男廁所,1,
高雄市,2715827,高雄市新興區東坡里中山一路與中正四路間,特優級,交通,女廁所,1,
高雄市,2715827,高雄市新興區東坡里中山一路與中正四路間,特優級,交通,無障礙廁所,1,
高雄市,2715827,高雄市新興區興昌里中正三路32號,特優級,交通,男廁所,1,
高雄市,2715827,高雄市新興區興昌里中正三路32號,特優級,交通,女廁所,1,
高雄市,2715827,高雄市新興區興昌里中正三路32號,特優級,交通,無障礙廁所,1,
臺南市,2868409,臺南市安平區平通里慶平路６８７號,普通級,其他,女廁所,0,
臺南市,2868409,臺南市安平區平通里慶平路６８７號,普通級,其他,男廁所,0,
臺南市,2868409,臺南市安平區平通里慶平路６８７號,特優級,其他,無障礙廁所,0,
臺南市,2868409,臺南市安南區安順里安和路三段１９３號,普通級,其他,混合廁所,0,
臺南市,2868409,臺南市東　區圍下里前鋒路１００號,特優級,其他,性別友善廁所,0,
臺南市,2868409,臺南市東　區德高里崇善路１１５５號,特優級,其他,混合廁所,0,
